competition_id,name,sub_type,type,country_id,country_name,domestic_league_code,confederation,is_major_national_league
,italy-cup,domestic_cup,domestic_cup,75,Italy,IT1,europa,False
,johan-cruijff-schaal,domestic_super_cup,other,122,Netherlands,NL1,europa,False
,kypello-elladas,domestic_cup,domestic_cup,56,Greece,GR1,europa,False
,supertaca-candido-de-oliveira,domestic_super_cup,other,136,Portugal,PO1,europa,False
,russian-super-cup,domestic_super_cup,other,141,Russia,RU1,europa,False
,supercopa,domestic_super_cup,other,157,Spain,ES1,europa,False
,uefa-super-cup,uefa_super_cup,international_cup,-1,nan,nan,europa,False
,superligaen,first_tier,domestic_league,39,Denmark,DK1,europa,False
,europa-league,europa_league,international_cup,-1,nan,nan,europa,False
,laliga,first_tier,domestic_league,157,Spain,ES1,europa,True
,ligue-1,first_tier,domestic_league,50,France,FR1,europa,True
,serie-a,first_tier,domestic_league,75,Italy,IT1,europa,True
,eredivisie,first_tier,domestic_league,122,Netherlands,NL1,europa,False
,russian-cup,domestic_cup,domestic_cup,141,Russia,RU1,europa,False
,liga-portugal-bwin,first_tier,domestic_league,136,Portugal,PO1,europa,False
,belgian-supercup,domestic_super_cup,other,19,Belgium,BE1,europa,False
,premier-league,first_tier,domestic_league,189,England,GB1,europa,True
,uefa-conference-league,uefa_europa_conference_league,international_cup,-1,nan,nan,europa,False
,europa-league-qualifikation,europa_league_qualifying,international_cup,-1,nan,nan,europa,False
,efl-cup,league_cup,other,189,England,GB1,europa,False
,sydbank-pokalen,domestic_cup,domestic_cup,39,Denmark,DK1,europa,False
,uefa-europa-conference-league-qualifikation,uefa_europa_conference_league_qualifiers,international_cup,-1,nan,nan,europa,False
,fa-cup,domestic_cup,domestic_cup,189,England,GB1,europa,False
,toto-knvb-beker,domestic_cup,domestic_cup,122,Netherlands,NL1,europa,False
,ukrainian-super-cup,domestic_super_cup,other,177,Ukraine,UKR1,europa,False
,premier-liga,first_tier,domestic_league,177,Ukraine,UKR1,europa,False
,copa-del-rey,domestic_cup,domestic_cup,157,Spain,ES1,europa,False
,uefa-champions-league,uefa_champions_league,international_cup,-1,nan,nan,europa,False
,super-league-1,first_tier,domestic_league,56,Greece,GR1,europa,False
,super-lig,first_tier,domestic_league,174,Turkey,TR1,europa,False
,allianz-cup,domestic_cup,domestic_cup,136,Portugal,PO1,europa,False
,community-shield,domestic_super_cup,other,189,England,GB1,europa,False
,fifa-klub-wm,fifa_club_world_cup,other,-1,nan,nan,europa,False
,bundesliga,first_tier,domestic_league,40,Germany,L1,europa,True
,premier-liga,first_tier,domestic_league,141,Russia,RU1,europa,False
,scottish-premiership,first_tier,domestic_league,190,Scotland,SC1,europa,False
,supercoppa-italiana,domestic_super_cup,other,75,Italy,IT1,europa,False
,jupiler-pro-league,first_tier,domestic_league,19,Belgium,BE1,europa,False
,uefa-champions-league-qualifikation,uefa_champions_league_qualifying,international_cup,-1,nan,nan,europa,False
,dfl-supercup,domestic_super_cup,other,40,Germany,L1,europa,False
,sfa-cup,domestic_cup,domestic_cup,190,Scotland,SC1,europa,False
,ukrainian-cup,domestic_cup,domestic_cup,177,Ukraine,UKR1,europa,False
,dfb-pokal,domestic_cup,domestic_cup,40,Germany,L1,europa,False
,trophee-des-champions,domestic_super_cup,other,50,France,FR1,europa,False
